data_adi,data_detay,original_week_period,original_date_text,date
Samsun,348.36,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Siirt,12.08,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Sinop,314.15,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Sivas,24.06,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Şanlıurfa,16.03,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Şırnak,5.76,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Tekirdağ,111.19,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Tokat,228.82,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Trabzon,226.14,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Tunceli,26.37,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Uşak,10.83,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Van,17.49,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Yalova,134.76,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Yozgat,35.55,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Zonguldak,64.61,27 Şubat 5 Mart 2021,5 Mart 2021,2021-03-05
Adana,42.86,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Adıyaman,120.64,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Afyon,31.62,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Ağrı,19.61,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Aksaray,108.27,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Amasya,90.31,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Ankara,35.39,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Antalya,78.92,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Ardahan,88.39,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Artvin,75.52,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Aydın,37.71,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Balıkesir,92.4,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Bartın,31.16,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
Batman,8.71,15-21 Şubat 2021,21 Şubat 2021,2021-02-21
